lead_time,adr,total_nights,total_guests,adr_per_guest,total_of_special_requests,booking_changes,previous_cancellations,days_in_waiting_list,required_car_parking_spaces,is_repeated_guest,room_mismatch,hotel,market_segment,deposit_type,customer_type,meal,arrival_season
48,79.5,7,2,39.75,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
60,107.0,7,2,53.5,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
77,94.0,7,2,47.0,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
99,87.3,7,2,43.65,1,0,0,0,1,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
118,62.0,14,1,62.0,2,2,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
95,63.86,15,2,31.93,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
96,108.3,10,2,54.15,2,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
69,65.5,6,2,32.75,0,0,0,0,0,0,1,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
45,108.8,4,3,36.266666666666666,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
40,108.8,4,3,36.266666666666666,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
15,98.0,4,2,49.0,0,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
36,108.8,4,3,36.266666666666666,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
43,108.8,4,3,36.266666666666666,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
70,137.0,5,2,68.5,1,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,HB,Summer
45,117.81,5,2,58.905,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
45,79.5,5,2,39.75,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
16,123.0,5,2,61.5,0,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
107,110.7,7,2,55.35,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
47,153.0,7,4,38.25,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
96,58.95,7,2,29.475,1,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
113,82.88,7,2,41.44,2,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,BB,Summer
90,82.35,7,2,41.175,0,1,0,0,0,0,1,Resort Hotel,Offline TA/TO,No Deposit,Contract,HB,Summer
50,119.35,7,2,59.675,1,1,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
113,67.58,7,2,33.79,2,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,BB,Summer
93,56.01,11,2,28.005,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
76,110.7,14,2,55.35,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
3,88.2,1,2,44.1,0,0,0,0,1,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
1,147.0,1,2,73.5,0,0,0,0,1,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
1,107.0,1,4,26.75,2,0,0,0,1,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
0,147.0,1,2,73.5,0,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
0,117.9,1,2,58.95,2,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
0,123.0,1,2,61.5,0,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
14,98.0,2,2,49.0,1,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
10,117.81,2,2,58.905,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
5,135.0,2,2,67.5,2,0,0,0,1,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
17,133.0,3,2,66.5,1,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
93,58.95,3,2,29.475,0,0,0,0,0,0,1,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
3,136.33,3,2,68.165,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
10,153.0,2,4,38.25,0,0,0,0,1,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
3,110.5,2,2,55.25,0,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
51,97.0,2,2,48.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
71,110.3,2,3,36.766666666666666,2,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
63,82.0,2,2,41.0,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
62,97.0,2,2,48.5,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
101,73.8,2,2,36.9,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
2,91.5,2,2,45.75,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,HB,Summer
15,114.5,2,2,57.25,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
51,110.3,2,3,36.766666666666666,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
3,90.9,3,2,45.45,0,0,0,0,1,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
48,123.0,3,2,61.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
2,122.0,4,1,122.0,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
72,110.7,4,2,55.35,0,0,0,0,1,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
81,85.86,8,3,28.62,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
99,58.95,9,2,29.475,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
368,55.68,10,2,27.84,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
364,55.68,10,2,27.84,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
81,124.0,10,2,62.0,1,2,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,HB,Summer
99,111.15,10,2,55.575,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,HB,Summer
324,134.73,14,2,67.365,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,HB,Summer
69,92.45,14,2,46.225,1,1,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
79,108.73,21,3,36.24333333333333,2,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
12,73.8,1,2,36.9,0,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
9,98.0,1,2,49.0,2,0,0,0,1,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
1,131.0,1,2,65.5,1,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
21,123.0,1,2,61.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
9,94.71,1,2,47.355,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
109,123.0,1,2,61.5,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
109,123.0,2,2,61.5,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
72,73.8,2,2,36.9,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
63,117.0,7,2,58.5,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
63,196.54,7,3,65.51333333333334,1,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,HB,Summer
101,99.3,7,3,33.1,2,0,0,0,1,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
102,90.95,7,2,45.475,0,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
4,92.67,3,2,46.335,1,0,0,0,0,0,1,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
98,71.55,3,2,35.775,0,0,0,0,1,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
92,96.49,6,3,32.163333333333334,2,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
95,85.8,6,2,42.9,2,0,0,0,1,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
102,96.3,7,2,48.15,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
26,163.0,7,4,40.75,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
73,172.0,7,3,57.333333333333336,1,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,HB,Summer
102,110.7,7,2,55.35,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
115,58.95,7,2,29.475,1,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
102,73.8,7,3,24.599999999999998,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
86,97.0,7,2,48.5,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
78,139.0,7,3,46.333333333333336,2,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
52,67.24,7,2,33.62,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
29,116.5,8,3,38.833333333333336,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
101,96.3,8,2,48.15,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
109,123.0,8,2,61.5,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
92,71.55,10,2,35.775,1,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
92,71.55,10,2,35.775,1,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
79,149.0,10,3,49.666666666666664,1,1,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,HB,Summer
2,163.0,1,4,40.75,0,1,0,0,1,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
30,79.5,1,2,39.75,0,0,0,0,0,0,1,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
51,105.0,1,1,105.0,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
36,123.0,1,1,123.0,0,1,0,0,0,0,1,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
73,73.8,1,2,36.9,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
33,113.0,1,2,56.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
32,0.0,1,4,0.0,1,2,0,0,0,0,0,Resort Hotel,Complementary,No Deposit,Transient,FB,Summer
8,123.0,1,2,61.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
100,73.8,2,2,36.9,1,0,0,0,1,0,1,Resort Hotel,Online TA,No Deposit,Transient-Party,BB,Summer
1,114.5,2,2,57.25,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
100,73.8,2,2,36.9,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient-Party,BB,Summer
100,73.8,2,2,36.9,1,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient-Party,BB,Summer
9,88.2,1,2,44.1,1,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
5,97.0,1,2,48.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
0,85.1,1,2,42.55,0,1,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
9,89.0,1,1,89.0,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
2,80.1,1,1,80.1,0,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
2,98.0,1,2,49.0,0,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
9,101.0,1,1,101.0,0,0,0,0,1,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
2,167.0,1,2,83.5,1,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
44,225.0,2,3,75.0,0,3,0,0,2,0,0,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
80,97.0,2,2,48.5,0,0,0,0,1,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
97,87.3,4,2,43.65,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
109,85.59,5,3,28.53,2,0,0,0,1,0,1,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
30,123.0,5,2,61.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
64,107.0,5,2,53.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
39,163.0,6,2,81.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
90,82.0,6,2,41.0,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
34,163.0,6,4,40.75,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
93,105.5,7,2,52.75,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,HB,Summer
97,164.2,7,4,41.05,1,1,0,0,1,0,0,Resort Hotel,Direct,No Deposit,Transient,HB,Summer
29,97.29,7,2,48.645,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
101,114.0,7,2,57.0,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
27,98.4,7,2,49.2,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
8,175.0,9,4,43.75,1,1,0,0,1,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
82,63.6,10,2,31.8,2,0,0,0,1,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
94,124.45,10,3,41.483333333333334,1,3,0,0,1,0,1,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
110,110.7,11,2,55.35,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
96,74.07,14,1,74.07,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,HB,Summer
79,134.1,14,2,67.05,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,HB,Summer
115,167.0,5,4,41.75,0,1,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
111,123.0,4,2,61.5,2,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
51,117.81,4,2,58.905,2,0,0,0,1,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
94,171.32,4,3,57.10666666666666,1,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
81,210.0,4,4,52.5,0,0,0,0,1,0,0,Resort Hotel,Direct,No Deposit,Transient,HB,Summer
84,97.0,4,3,32.333333333333336,2,1,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
51,117.81,4,3,39.27,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
111,0.0,0,2,0.0,2,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
0,0.0,0,1,0.0,0,0,0,0,0,0,1,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
2,131.0,1,3,43.666666666666664,0,0,0,0,0,0,1,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
7,98.0,2,2,49.0,2,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
98,87.3,2,2,43.65,1,0,0,0,1,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
95,97.0,3,2,48.5,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
48,167.0,4,2,83.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
66,91.5,4,2,45.75,0,0,0,0,0,0,1,Resort Hotel,Offline TA/TO,No Deposit,Transient,HB,Summer
104,73.8,4,2,36.9,1,1,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
28,123.0,5,2,61.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
34,175.0,5,2,87.5,0,0,0,0,1,0,0,Resort Hotel,Direct,No Deposit,Transient,HB,Summer
98,117.8,6,2,58.9,1,0,0,0,1,0,1,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
104,117.63,6,2,58.815,0,1,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
68,185.0,7,4,46.25,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
86,71.0,7,1,71.0,1,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,HB,Summer
258,47.25,7,2,23.625,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
111,151.0,8,2,75.5,1,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
94,87.3,10,2,43.65,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
112,120.6,10,2,60.3,1,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
100,63.86,10,2,31.93,1,1,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
33,157.1,10,2,78.55,1,5,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,HB,Summer
97,91.37,10,2,45.685,2,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,HB,Summer
80,73.0,11,1,73.0,0,1,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
90,110.7,14,2,55.35,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
111,93.6,14,2,46.8,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
65,83.5,7,2,41.75,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
67,73.8,2,2,36.9,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
55,82.0,3,2,41.0,2,0,0,0,1,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
21,185.5,3,3,61.833333333333336,1,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,HB,Summer
8,0.0,0,2,0.0,1,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
8,0.0,0,2,0.0,1,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
0,109.8,1,1,109.8,3,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
0,195.0,1,3,65.0,0,0,0,0,1,0,0,Resort Hotel,Direct,No Deposit,Transient,HB,Summer
8,193.0,4,5,38.6,1,2,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
66,97.0,4,2,48.5,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
88,150.0,4,3,50.0,1,0,0,0,0,0,1,Resort Hotel,Offline TA/TO,No Deposit,Transient,HB,Summer
0,98.0,4,2,49.0,0,2,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
43,91.5,5,2,45.75,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,HB,Summer
88,139.0,7,2,69.5,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
54,79.5,7,2,39.75,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
292,47.25,7,2,23.625,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,BB,Summer
112,126.65,14,2,63.325,1,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,HB,Summer
68,107.0,3,2,53.5,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
7,131.0,4,2,65.5,2,0,0,0,1,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
1,131.0,4,2,65.5,1,0,0,0,1,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
113,123.0,4,2,61.5,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
5,146.0,4,2,73.0,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
83,110.7,4,2,55.35,1,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
105,73.8,4,2,36.9,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
0,61.0,1,1,61.0,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Transient,BB,Summer
1,104.72,1,2,52.36,1,0,0,0,0,0,0,Resort Hotel,Corporate,No Deposit,Transient,BB,Summer
1,104.72,2,2,52.36,1,0,0,0,1,0,1,Resort Hotel,Corporate,No Deposit,Transient,BB,Summer
102,66.42,5,2,33.21,1,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
113,77.96,6,2,38.98,1,1,0,0,1,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
280,112.0,7,3,37.333333333333336,1,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,HB,Summer
96,107.0,7,2,53.5,1,0,0,0,0,0,1,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
394,89.68,7,2,44.84,0,0,0,0,0,0,0,Resort Hotel,Offline TA/TO,No Deposit,Contract,HB,Summer
33,155.0,7,2,77.5,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,HB,Summer
82,112.0,8,3,37.333333333333336,1,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
100,130.1,9,3,43.36666666666667,3,1,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient-Party,BB,Summer
100,100.1,9,2,50.05,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient-Party,BB,Summer
17,123.0,1,4,30.75,3,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
68,124.0,2,3,41.333333333333336,1,0,0,0,1,0,1,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
12,146.0,2,4,36.5,0,2,0,0,1,0,1,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
77,97.0,3,2,48.5,0,0,0,0,0,0,0,Resort Hotel,Direct,No Deposit,Transient,BB,Summer
24,123.0,3,4,30.75,1,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
44,153.0,3,4,38.25,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
78,82.0,3,3,27.333333333333332,2,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
17,105.08,4,2,52.54,0,0,0,0,0,0,0,Resort Hotel,Online TA,No Deposit,Transient,BB,Summer
